item,price,date
Maize,300.00,2023-06
Maize,350.00,2023-06
Maize,300.00,2023-06
Maize,300.00,2023-06
Maize,300.00,2023-06
Maize,350.00,2023-06
Maize,350.00,2023-06
Maize,350.00,2023-06
Maize,350.00,2023-06
Maize,350.00,2023-06
Maize,350.00,2023-06
Maize,350.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,400.00,2023-06
Maize,380.00,2023-06
Maize,380.00,2023-06
Maize,380.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,480.00,2023-07
Maize,480.00,2023-07
Maize,500.00,2023-07
Maize,510.00,2023-07
Maize,510.00,2023-07
Maize,510.00,2023-07
Maize,510.00,2023-07
Maize,510.00,2023-07
Maize,510.00,2023-07
Maize,510.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,500.00,2023-07
Maize,510.00,2023-07
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,510.00,2023-08
Maize,510.00,2023-08
Maize,510.00,2023-08
Maize,510.00,2023-08
Maize,510.00,2023-08
Maize,510.00,2023-08
Maize,510.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,500.00,2023-08
Maize,540.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,540.00,2023-09
Maize,550.00,2023-09
Maize,600.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,550.00,2023-09
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
Maize,600.00,2023-10
